att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
0,0,1,0,1,0,0,1,0,1,1
0,1,1,1,1,1,0,1,1,0,1
1,1,0,1,1,1,1,1,1,0,1
1,0,1,0,1,0,0,1,1,0,0
0,0,1,1,1,0,0,0,1,1,0
0,1,1,0,1,1,1,1,0,1,1
0,1,0,1,0,0,0,0,0,1,1
0,1,0,1,1,0,0,1,1,0,1
1,1,0,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,0,1,1,1,0,1
0,1,1,0,0,1,1,1,0,1,1
0,0,1,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,0,1,0,1,1
0,0,0,1,0,0,1,0,1,1,0
0,1,0,1,1,1,0,0,0,0,1
0,0,1,0,0,0,1,1,0,0,0
1,0,0,1,0,0,1,0,1,0,1
0,1,1,0,0,0,0,1,0,0,0
1,0,1,0,1,0,1,1,0,1,0
1,1,1,1,1,0,0,1,1,1,1
0,1,0,1,0,1,0,0,1,0,1
0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1
0,1,1,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,1,1,0,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,0,0,0,1,0,1,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0,1,1,0,1,0,1
0,1,1,1,1,1,1,1,0,0,1
0,1,0,0,1,1,0,0,1,0,0
1,0,1,0,1,0,0,0,1,0,0
1,1,1,1,1,1,0,1,0,0,1
1,1,1,0,1,0,0,1,1,0,0
0,1,1,1,1,1,1,1,0,1,1
1,0,1,0,0,1,1,0,0,1,1
0,0,0,0,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,0,0,0,1,0,1
0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1
0,0,1,1,1,0,1,1,1,1,0
1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,1,0,1,0
1,1,0,1,1,0,1,0,0,0,1
1,0,1,1,0,0,0,1,0,0,0
1,1,1,0,1,1,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,1
0,0,1,1,0,1,1,1,0,1,1
0,0,1,0,1,1,0,1,0,1,0
0,0,1,1,0,1,1,0,1,0,1
0,1,0,1,0,1,0,0,1,1,1
0,0,1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,0,1,0
1,0,1,0,0,1,1,0,0,1,0
1,1,0,1,1,1,0,0,1,0,1
1,1,1,0,1,1,1,1,1,0,1
1,1,0,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,1,0
1,0,1,0,0,1,1,1,1,1,0
0,0,0,0,1,0,1,1,0,0,0
1,1,1,1,0,1,1,1,0,0,1
1,0,1,0,1,1,1,1,0,0,0
1,0,0,0,0,1,1,1,1,0,0
0,1,0,1,1,1,1,0,0,0,1
0,0,0,0,0,0,1,0,1,1,1
0,0,0,1,1,1,1,0,0,1,1
0,0,0,1,0,0,1,1,0,0,0
1,0,1,1,0,0,1,1,0,1,0
1,0,1,1,1,1,1,0,0,1,1
1,0,1,1,0,0,1,1,1,1,1
1,1,0,0,0,0,1,1,1,1,0
1,0,1,1,0,0,0,1,1,1,0
0,1,1,0,1,0,0,0,0,1,0
0,0,0,0,1,1,1,0,0,0,1
0,0,1,1,1,0,1,0,1,1,0
0,1,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,1,0,1,0,0
0,1,1,0,0,1,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,1,1,1,1,1,0
0,0,0,1,0,1,0,1,0,0,0
0,1,1,0,1,1,0,1,0,0,1
1,0,0,0,0,1,1,0,1,0,1
0,1,1,1,1,0,1,0,1,0,0
0,0,1,1,0,1,1,0,1,1,1
1,1,0,1,1,1,0,1,0,1,1
0,0,0,1,1,0,1,0,1,0,0
0,1,0,0,1,1,0,1,1,1,1
1,0,1,0,0,0,0,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0
0,1,0,0,1,1,0,0,0,1,1
1,0,1,0,0,1,1,0,1,1,0
0,1,0,0,0,0,1,0,0,0,1
1,0,1,1,1,0,0,1,0,0,0
1,0,0,0,0,0,1,1,1,0,0
0,1,1,0,1,1,0,0,1,0,1
1,0,0,1,1,1,0,0,0,1,0
1,1,0,1,0,1,0,0,0,0,1
0,0,1,1,1,0,1,0,0,0,0
0,0,1,1,1,1,1,1,0,0,1
1,0,1,1,1,0,1,1,1,0,0
0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,1,0,0,0,0,0
0,1,0,1,0,1,1,1,1,0,1
1,0,1,1,0,1,1,0,1,1,1
1,1,0,0,1,1,0,0,0,1,1
0,0,1,1,1,0,1,1,1,1,0
1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,1,0,0,1
1,1,1,0,0,1,1,0,1,1,1
0,1,1,0,1,1,1,0,0,0,0
0,1,1,1,0,0,1,0,0,1,1
0,1,0,1,1,0,1,0,1,1,1
0,0,0,1,1,0,1,0,0,1,0
0,1,1,0,0,1,1,0,1,1,1
1,0,0,0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,1,1,0,0
0,1,1,0,1,1,0,1,0,1,1
0,0,0,1,0,1,1,1,1,0,1
1,1,1,0,1,1,1,0,0,1,1
1,1,0,1,0,0,1,0,1,1,1
1,0,0,0,0,0,1,0,0,1,0
1,0,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,1,0
1,0,1,0,0,1,1,0,1,1,1
1,1,1,0,0,0,1,1,0,0,0
1,1,0,1,0,0,0,1,1,1,0
0,0,0,1,1,0,0,0,0,0,1
0,0,1,1,1,0,0,1,1,1,0
1,1,0,1,1,0,1,1,0,0,0
1,1,0,1,0,1,0,1,1,1,1
1,0,0,1,1,1,0,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,1,1,0,0,1,0,1,0,1,0
1,1,0,0,1,1,1,1,0,0,1
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,1,1,1,1,1,1
0,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,0,1,1,1,0
1,1,0,1,1,0,0,0,1,0,0
0,1,0,0,1,0,1,1,0,1,1
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,0,1,1,0
1,1,1,1,1,0,0,1,1,0,0
0,1,1,1,0,1,1,0,0,0,1
0,0,1,1,0,1,0,1,0,1,1
1,0,0,1,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,1,0,0
1,0,1,1,1,0,1,0,1,0,1
0,1,1,1,0,0,1,1,1,0,1
1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,1,1,0,0,0
0,0,1,1,0,1,1,0,1,0,1
0,1,0,1,1,0,1,1,1,0,0
1,1,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,1,1,1,1,0
1,1,1,0,1,1,0,1,1,0,1
0,0,1,0,1,0,1,0,1,1,0
0,0,1,1,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,0,0,1,1,0,0
1,0,0,0,0,0,1,1,0,1,0
1,0,0,0,1,1,1,0,1,0,1
1,1,0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,1,0,1,1,1,0
0,0,0,1,1,1,1,1,0,0,1
1,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,0,1
0,1,0,0,1,0,1,1,1,1,0
1,0,0,0,0,1,1,0,0,1,1
0,1,1,1,0,1,0,1,1,0,1
1,1,0,1,0,0,1,1,1,1,0
0,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,1,1,0
0,1,0,0,1,1,0,1,0,1,1
0,0,0,1,0,0,1,1,1,1,0
0,1,1,1,1,1,1,1,0,0,1
0,0,0,0,0,1,1,1,1,0,0
1,0,1,0,0,0,0,1,0,1,1
0,1,0,1,1,1,0,0,0,0,1
1,0,1,0,0,0,1,1,0,1,0
0,1,1,1,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,1,1
1,1,0,0,0,1,1,0,0,1,1
0,1,1,1,0,0,0,1,1,1,1
1,0,0,0,0,0,1,1,1,0,0
1,0,1,0,0,1,1,1,1,0,1
1,0,1,1,0,1,1,1,0,1,0
0,1,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0
0,0,1,1,0,0,1,0,1,0,0
1,1,1,0,1,1,1,0,0,0,1
0,1,1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,0,0,1,0,0,0,0
1,0,0,1,1,1,1,0,1,0,1
1,1,0,1,1,1,1,0,1,0,1
1,0,1,0,1,1,0,0,1,0,1
0,0,1,0,1,0,0,0,0,1,0
0,0,1,1,0,1,1,0,0,1,1
1,0,1,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,1,0
0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0
0,1,0,1,1,1,1,1,1,0,0
0,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,0,1
1,0,1,1,0,0,0,1,0,0,0
1,1,1,0,0,1,1,0,0,0,1
1,0,1,1,1,0,1,1,1,1,0
1,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1,1,0
1,1,1,1,1,0,1,1,1,0,1
1,1,1,0,0,1,1,0,1,0,1
1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,1,1,0,0
0,0,1,0,1,1,1,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0
0,0,1,1,0,1,1,1,1,1,0
1,0,1,0,1,1,0,1,1,1,1
0,1,1,1,0,1,1,1,0,1,1
0,1,1,0,1,1,1,0,1,0,0
0,1,1,1,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0,0,1,1
1,1,0,1,1,1,1,0,0,1,1
1,1,1,0,1,0,0,1,1,1,0
0,0,1,1,1,0,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,1,0,0,0,0,1,1,0,1,0
1,1,0,1,0,1,0,1,0,0,1
1,1,0,0,0,0,1,1,1,0,0
1,0,0,1,0,1,1,0,1,0,0
0,0,1,0,0,1,0,1,0,0,0
0,1,1,0,1,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1,1,1
0,1,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,0,1
0,1,0,1,0,0,0,1,1,0,0
1,1,0,0,1,0,0,0,1,0,1
0,1,1,0,0,1,1,0,1,1,1
1,1,1,1,1,1,1,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0
0,1,0,0,1,0,1,0,0,0,1
1,0,0,1,1,0,0,1,1,0,0
1,0,1,0,1,0,0,0,0,1,1
1,0,0,1,0,1,0,0,1,0,1
1,1,1,0,0,1,1,0,0,1,1
1,1,0,0,0,1,1,0,1,0,1
0,1,1,1,0,0,1,1,0,0,1
1,1,0,1,1,0,0,1,1,1,0
0,0,0,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,0,0,0,1,1
1,0,0,0,1,0,1,0,0,0,0
0,0,0,1,1,1,1,0,1,1,1
1,0,1,1,1,1,0,1,1,1,1
0,0,1,1,1,0,0,0,0,1,0
1,0,1,0,1,0,1,0,1,1,0
1,1,0,0,1,0,1,1,1,0,0
0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,1,0,1,1
1,0,1,0,1,1,1,1,0,1,1
1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,1,0,1,1,1,1,0
0,1,0,0,1,1,1,1,1,1,1
0,1,0,1,0,1,1,1,1,1,0
0,0,1,0,1,1,1,0,1,0,1
1,1,1,1,1,0,0,0,1,1,0
1,0,1,0,0,0,0,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0
1,1,1,0,1,1,1,1,0,1,1
0,1,1,0,0,1,0,0,0,1,1
1,0,0,1,1,0,0,1,1,0,0
1,0,1,0,0,0,1,1,1,0,0
0,1,1,0,1,0,1,1,1,0,0
0,0,1,0,0,0,1,1,1,0,0
0,1,1,0,1,1,1,0,0,1,1
0,1,1,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,1,1,0,0
0,0,0,1,0,0,1,0,1,1,1
0,1,0,1,1,1,1,1,0,1,1
0,0,0,0,1,1,0,1,1,1,0
1,0,1,1,0,0,1,0,1,1,0
0,0,1,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,0,0,1,1
1,1,0,1,0,0,1,0,0,0,1
0,0,0,0,1,0,1,1,0,1,0
0,0,0,1,0,1,1,0,1,0,1
0,0,0,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,0,1,0,0
0,1,1,0,0,0,1,1,1,1,0
1,1,0,0,0,0,1,1,1,0,0
0,1,1,0,0,1,0,1,1,1,1
1,0,1,1,0,1,1,1,1,0,0
0,0,1,1,0,0,1,1,1,0,0
0,0,0,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,1,0,0
1,1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,1,1,1,0,0,1
1,0,1,1,0,0,1,1,1,1,0
1,1,0,1,1,0,1,1,0,0,0
0,1,0,0,1,1,0,1,0,0,0
1,1,1,1,1,0,0,1,1,0,1
1,1,0,0,1,0,0,1,1,1,0
1,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,1,1,1,0
0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,1,1,0
0,1,0,0,0,0,1,1,1,0,0
0,0,0,1,1,0,1,1,0,0,0
1,1,0,0,1,1,0,1,1,0,1
0,1,1,1,1,1,0,1,1,0,1
1,1,1,1,0,0,1,1,0,1,1
1,1,1,0,0,1,1,0,1,1,1
1,0,1,1,1,0,1,0,0,1,1
1,1,1,0,0,0,1,1,0,0,0
1,1,0,1,0,1,1,1,0,1,1
1,1,0,0,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,1,0,1,0
0,1,0,0,0,1,0,1,1,1,0
1,0,0,1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,0,1,0,1
0,1,1,0,1,1,0,0,1,0,1
1,1,1,1,1,1,0,0,1,1,1
0,0,1,0,1,1,1,1,0,0,0
0,1,1,1,0,0,0,0,1,0,0
0,1,1,1,0,0,1,1,0,0,0
1,1,1,0,0,0,1,1,0,0,0
0,1,0,1,0,1,0,0,1,0,1
0,0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,1,1,1
0,0,1,1,0,0,1,1,1,1,0
1,1,0,1,1,0,1,0,1,1,0
1,0,0,1,1,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,1,0,1
1,1,1,0,1,0,0,0,1,1,0
0,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,1,1,1,1,0
1,1,1,1,1,1,0,0,1,0,1
0,0,0,0,1,0,1,1,0,0,0
0,1,0,0,1,1,1,1,1,1,1
0,1,1,0,0,1,0,0,1,1,1
0,1,0,1,1,1,1,1,0,1,1
0,0,0,1,0,0,0,1,1,1,0
1,0,1,0,0,0,0,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0
1,1,1,1,0,0,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,1,1,0
1,0,0,0,0,1,0,0,0,1,0
1,0,1,0,0,0,1,0,1,1,0
1,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,1,1,1,1,1
0,0,1,1,0,0,1,0,0,1,0
1,1,1,1,1,1,0,1,1,0,1
1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,1,0
0,0,1,1,0,1,1,0,1,1,1
0,0,0,0,0,1,0,1,1,1,0
1,1,1,0,1,1,1,0,0,1,1
1,1,1,0,0,0,1,0,1,0,0
0,1,1,1,1,0,1,1,0,0,1
1,0,0,1,0,1,1,1,1,0,0
0,0,0,0,1,0,1,1,0,1,0
0,1,1,0,1,1,1,0,0,0,1
1,1,0,1,1,1,0,1,1,0,1
1,0,0,0,1,1,0,1,0,0,0
1,0,0,0,1,0,0,0,0,1,0
1,0,1,1,0,1,1,0,0,1,1
0,0,0,1,0,0,1,0,0,0,0
1,0,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,0
0,1,1,1,1,0,0,1,1,1,0
0,1,1,1,0,1,0,1,0,1,1
0,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,1,1
0,1,1,1,0,0,1,0,1,0,1
1,1,0,0,1,1,1,1,1,1,1
0,1,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,1,0,1
1,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,1,1,1,1
0,1,1,1,1,1,1,1,0,0,1
1,1,0,0,1,0,1,1,0,0,0
0,1,0,1,1,0,0,0,1,0,0
1,1,1,1,0,1,1,0,0,1,1
1,0,1,0,0,0,1,1,1,0,0
0,0,0,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,1,1,0
1,0,0,1,1,0,0,0,0,1,0
1,1,0,0,1,0,0,0,1,1,0
1,1,0,0,0,0,1,0,1,1,1
0,1,1,1,1,0,1,0,0,1,1
0,1,1,1,1,1,0,0,1,0,1
1,0,0,1,1,0,1,1,1,1,0
1,1,1,0,0,1,1,1,0,1,1
0,0,1,1,1,1,1,1,0,1,1
